algorithm,instance_type,n,instance_id,best_cost,time_ms,checked_permutations
BF,ATSP,6,1,196,0.358958,120
BF,ATSP,6,2,165,0.255903,120
BF,ATSP,6,3,206,0.154462,120
BF,ATSP,6,4,166,0.152568,120
BF,ATSP,6,5,75,0.198264,120
BF,ATSP,7,1,173,1.04669,720
BF,ATSP,7,2,137,1.02371,720
BF,ATSP,7,3,177,0.977635,720
BF,ATSP,7,4,147,0.999676,720
BF,ATSP,7,5,149,0.970351,720
BF,ATSP,8,1,187,7.65326,5040
BF,ATSP,8,2,155,7.52673,5040
BF,ATSP,8,3,202,7.57923,5040
BF,ATSP,8,4,85,7.45254,5040
BF,ATSP,8,5,129,7.45779,5040
BF,ATSP,9,1,185,64.052,40320
BF,ATSP,9,2,86,63.5868,40320
BF,ATSP,9,3,184,64.2751,40320
BF,ATSP,9,4,96,63.6589,40320
BF,ATSP,9,5,128,63.6054,40320
BF,ATSP,10,1,156,585.793,362880
BF,ATSP,10,2,102,394.886,362880
BF,ATSP,10,3,155,398.73,362880
BF,ATSP,10,4,131,443.572,362880
BF,ATSP,10,5,142,430.035,362880
