algorithm,instance_type,n,instance_id,best_cost,time_ms,checked_permutations
BF,TSP,6,1,150,0.09563,60
BF,TSP,6,2,196,0.100781,60
BF,TSP,6,3,294,0.093787,60
BF,TSP,6,4,196,0.092484,60
BF,TSP,6,5,202,0.101862,60
BF,TSP,7,1,263,0.567321,360
BF,TSP,7,2,145,0.591567,360
BF,TSP,7,3,180,0.622796,360
BF,TSP,7,4,141,0.569464,360
BF,TSP,7,5,198,0.565658,360
BF,TSP,8,1,258,4.51184,2520
BF,TSP,8,2,149,4.15535,2520
BF,TSP,8,3,258,4.13818,2520
BF,TSP,8,4,152,4.10908,2520
BF,TSP,8,5,222,4.40363,2520
BF,TSP,9,1,211,35.8489,20160
BF,TSP,9,2,180,36.5973,20160
BF,TSP,9,3,199,35.7334,20160
BF,TSP,9,4,105,35.7883,20160
BF,TSP,9,5,183,36.1895,20160
BF,TSP,10,1,141,343.128,181440
BF,TSP,10,2,200,281.844,181440
BF,TSP,10,3,181,222.207,181440
BF,TSP,10,4,137,220.997,181440
BF,TSP,10,5,195,219.547,181440
BF,TSP,11,1,243,2418.28,1814400
BF,TSP,11,2,221,2401.51,1814400
BF,TSP,11,3,245,2326.49,1814400
BF,TSP,11,4,183,2336.08,1814400
BF,TSP,11,5,168,2421.55,1814400
