algorithm,instance_name,instance_type,n,run_id,start_vertex,best_cost,opt_cost,relative_error_percent,time_ms
RAND,br17,ATSP,17,1,-1,42,39,7.69231,18385.4
RAND,br17,ATSP,17,2,-1,42,39,7.69231,18258.7
RAND,br17,ATSP,17,3,-1,39,39,0,18244.3
RAND,br17,ATSP,17,4,-1,41,39,5.12821,18232.5
RAND,br17,ATSP,17,5,-1,42,39,7.69231,18227.1
NN,br17,ATSP,17,1,0,92,39,135.897,0.010309
RNN,br17,ATSP,17,1,3,39,39,0,1568.78
RAND,ft53,ATSP,53,1,-1,19138,6905,177.161,53238.7
RAND,ft53,ATSP,53,2,-1,19237,6905,178.595,54843.7
RAND,ft53,ATSP,53,3,-1,18997,6905,175.119,54395.4
RAND,ft53,ATSP,53,4,-1,19305,6905,179.58,54011.6
RAND,ft53,ATSP,53,5,-1,18928,6905,174.12,52292.5
NN,ft53,ATSP,53,1,0,9514,6905,37.7842,0.083237
RNN,ft53,ATSP,53,1,19,8584,6905,24.3157,5.82123
RAND,ftv47,ATSP,48,1,-1,4805,1776,170.552,47785.1
RAND,ftv47,ATSP,48,2,-1,4842,1776,172.635,48923.2
RAND,ftv47,ATSP,48,3,-1,4925,1776,177.309,51204.8
RAND,ftv47,ATSP,48,4,-1,4811,1776,170.89,48965.3
RAND,ftv47,ATSP,48,5,-1,4793,1776,169.876,48414.2
NN,ftv47,ATSP,48,1,0,2374,1776,33.6712,0.097394
RNN,ftv47,ATSP,48,1,13,2173,1776,22.3536,6.72716
RAND,ftv33,ATSP,34,1,-1,2939,1286,128.538,34750.8
RAND,ftv33,ATSP,34,2,-1,2938,1286,128.46,35293.6
RAND,ftv33,ATSP,34,3,-1,2928,1286,127.683,35144.4
RAND,ftv33,ATSP,34,4,-1,2937,1286,128.383,35505.1
RAND,ftv33,ATSP,34,5,-1,2880,1286,123.95,35839.1
NN,ftv33,ATSP,34,1,0,1683,1286,30.8709,0.034425
RNN,ftv33,ATSP,34,1,4,1590,1286,23.6392,1.59011
RAND,ftv35,ATSP,36,1,-1,3063,1473,107.943,37998.1
RAND,ftv35,ATSP,36,2,-1,3245,1473,120.299,37614.8
RAND,ftv35,ATSP,36,3,-1,3302,1473,124.168,37469.3
RAND,ftv35,ATSP,36,4,-1,3297,1473,123.829,37858.1
RAND,ftv35,ATSP,36,5,-1,3231,1473,119.348,37506.9
NN,ftv35,ATSP,36,1,0,1791,1473,21.5886,0.040617
RNN,ftv35,ATSP,36,1,10,1667,1473,13.1704,2.07266
RAND,ftv38,ATSP,39,1,-1,3451,1530,125.556,40090.7
RAND,ftv38,ATSP,39,2,-1,3550,1530,132.026,39901.7
RAND,ftv38,ATSP,39,3,-1,3545,1530,131.699,40222.3
RAND,ftv38,ATSP,39,4,-1,3604,1530,135.556,40395.5
RAND,ftv38,ATSP,39,5,-1,3431,1530,124.248,40384.8
NN,ftv38,ATSP,39,1,0,1778,1530,16.2092,0.050205
RNN,ftv38,ATSP,39,1,16,1759,1530,14.9673,3.46855
RAND,ftv64,ATSP,65,1,-1,6519,1839,254.486,65641.4
RAND,ftv64,ATSP,65,2,-1,6663,1839,262.316,66275.3
RAND,ftv64,ATSP,65,3,-1,6563,1839,256.879,66237.6
RAND,ftv64,ATSP,65,4,-1,6688,1839,263.676,66644.1
RAND,ftv64,ATSP,65,5,-1,6617,1839,259.815,67048.6
NN,ftv64,ATSP,65,1,0,2639,1839,43.5019,0.121749
RNN,ftv64,ATSP,65,1,30,2202,1839,19.739,12.85
