set_type,instance_name,instance_file,note_trials,repeat_id,seed,best_cost,opt_cost,error_percent,time_ms
TSP,att48,data/tsp/att48.tsp,100,1,22346,42329,10628,298.278,0.474746
TSP,att48,data/tsp/att48.tsp,100,2,22347,38375,10628,261.075,0.465159
TSP,att48,data/tsp/att48.tsp,100,3,22348,40539,10628,281.436,0.469998
TSP,att48,data/tsp/att48.tsp,100,4,22349,41591,10628,291.334,0.677519
TSP,att48,data/tsp/att48.tsp,100,5,22350,42972,10628,304.328,0.465539
TSP,att48,data/tsp/att48.tsp,500,1,62346,38253,10628,259.927,2.54207
TSP,att48,data/tsp/att48.tsp,500,2,62347,38937,10628,266.362,2.33216
TSP,att48,data/tsp/att48.tsp,500,3,62348,38090,10628,258.393,2.34031
TSP,att48,data/tsp/att48.tsp,500,4,62349,38861,10628,265.647,2.33913
TSP,att48,data/tsp/att48.tsp,500,5,62350,37148,10628,249.53,2.33498
TSP,att48,data/tsp/att48.tsp,1000,1,112346,38046,10628,257.979,4.77657
TSP,att48,data/tsp/att48.tsp,1000,2,112347,39710,10628,273.636,4.80207
TSP,att48,data/tsp/att48.tsp,1000,3,112348,39527,10628,271.914,4.80068
TSP,att48,data/tsp/att48.tsp,1000,4,112349,40397,10628,280.1,4.8149
TSP,att48,data/tsp/att48.tsp,1000,5,112350,37813,10628,255.787,4.8634
TSP,att48,data/tsp/att48.tsp,2000,1,212346,36689,10628,245.211,9.51875
TSP,att48,data/tsp/att48.tsp,2000,2,212347,37826,10628,255.909,9.46619
TSP,att48,data/tsp/att48.tsp,2000,3,212348,39481,10628,271.481,9.31431
TSP,att48,data/tsp/att48.tsp,2000,4,212349,37695,10628,254.676,9.35289
TSP,att48,data/tsp/att48.tsp,2000,5,212350,36843,10628,246.66,9.40694
TSP,att48,data/tsp/att48.tsp,5000,1,512346,37645,10628,254.206,23.6878
TSP,att48,data/tsp/att48.tsp,5000,2,512347,37510,10628,252.936,23.5641
TSP,att48,data/tsp/att48.tsp,5000,3,512348,34877,10628,228.161,23.594
TSP,att48,data/tsp/att48.tsp,5000,4,512349,35726,10628,236.15,23.6408
TSP,att48,data/tsp/att48.tsp,5000,5,512350,36172,10628,240.346,23.5961
